shoots	hoots,soots,shots,shots,shoos,shoot
blaute	laute,baute,blute,blate,blaue,blaut
braute	raute,baute,brute,brate,braue,braut
staute	taute,saute,stute,state,staue,staut
flaute	laute,faute,flute,flate,flaue,flaut
heilst	eilst,hilst,helst,heist,heilt,heils
amias	mias,aias,amas,amis,amia
asker	sker,aker,aser,askr,aske
baals	aals,bals,bals,baas,baal
baits	aits,bits,bats,bais,bait
balas	alas,blas,baas,bals,bala
beild	eild,bild,beld,beid,beil
bleat	leat,beat,blat,blet,blea
boars	oars,bars,bors,boas,boar
boats	oats,bats,bots,boas,boat
boons	oons,bons,bons,boos,boon
boots	oots,bots,bots,boos,boot
boras	oras,bras,boas,bors,bora
bourn	ourn,burn,born,boun,bour
breek	reek,beek,brek,brek,bree
brood	rood,bood,brod,brod,broo
brook	rook,book,brok,brok,broo
broom	room,boom,brom,brom,broo
buret	uret,bret,buet,burt,bure
carts	arts,crts,cats,cars,cart
chain	hain,cain,chin,chan,chai
coons	oons,cons,cons,coos,coon
coops	oops,cops,cops,coos,coop
coots	oots,cots,cots,coos,coot
crees	rees,cees,cres,cres,cree
dearn	earn,darn,dern,dean,dear
drays	rays,days,drys,dras,dray
faint	aint,fint,fant,fait,fain
feels	eels,fels,fels,fees,feel
fleet	leet,feet,flet,flet,flee
freed	reed,feed,fred,fred,free
freen	reen,feen,fren,fren,free
frees	rees,fees,fres,fres,free
freet	reet,feet,fret,fret,free
freit	reit,feit,frit,fret,frei
gleed	leed,geed,gled,gled,glee
grees	rees,gees,gres,gres,gree
greet	reet,geet,gret,gret,gree
grein	rein,gein,grin,gren,grei
greit	reit,geit,grit,gret,grei
hails	ails,hils,hals,hais,hail
haine	aine,hine,hane,haie,hain
haire	aire,hire,hare,haie,hair
hause	ause,huse,hase,haue,haus
haust	aust,hust,hast,haut,haus
haute	aute,hute,hate,haue,haut
haven	aven,hven,haen,havn,have
yearn	earn,yarn,yern,yean,year
kanas	anas,knas,kaas,kans,kana
kanes	anes,knes,kaes,kans,kane
laine	aine,line,lane,laie,lain
least	east,last,lest,leat,leas
loops	oops,lops,lops,loos,loop
loots	oots,lots,lots,loos,loot
maids	aids,mids,mads,mais,maid
maile	aile,mile,male,maie,mail
maine	aine,mine,mane,maie,main
mains	ains,mins,mans,mais,main
maire	aire,mire,mare,maie,mair
mairs	airs,mirs,mars,mais,mair
meats	eats,mats,mets,meas,meat
moats	oats,mats,mots,moas,moat
moons	oons,mons,mons,moos,moon
moots	oots,mots,mots,moos,moot
pails	ails,pils,pals,pais,pail
pains	ains,pins,pans,pais,pain
pears	ears,pars,pers,peas,pear
peats	eats,pats,pets,peas,peat
peins	eins,pins,pens,peis,pein
peris	eris,pris,peis,pers,peri
pleat	leat,peat,plat,plet,plea
preed	reed,peed,pred,pred,pree
preen	reen,peen,pren,pren,pree
prees	rees,pees,pres,pres,pree
pries	ries,pies,pres,pris,prie
proof	roof,poof,prof,prof,proo
raids	aids,rids,rads,rais,raid
reins	eins,rins,rens,reis,rein
roust	oust,rust,rost,rout,rous
routs	outs,ruts,rots,rous,rout
saunt	aunt,sunt,sant,saut,saun
seats	eats,sats,sets,seas,seat
seels	eels,sels,sels,sees,seel
sheel	heel,seel,shel,shel,shee
sheer	heer,seer,sher,sher,shee
shoot	hoot,soot,shot,shot,shoo
skeel	keel,seel,skel,skel,skee
skeen	keen,seen,sken,sken,skee
skein	kein,sein,skin,sken,skei
skier	kier,sier,sker,skir,skie
sleep	leep,seep,slep,slep,slee
sloot	loot,soot,slot,slot,sloo
sneer	neer,seer,sner,sner,snee
