grein	rein,gein,grin,gren,grei
leide	eide,lide,lede,leie,leid
leike	eike,like,leke,leie,leik
meine	eine,mine,mene,meie,mein
skure	kure,sure,skre,skue,skur
tåren	åren,tren,tåen,tårn,tåre
veike	eike,vike,veke,veie,veik
bile	ile,ble,bie,bil
bora	ora,bra,boa,bor
broa	roa,boa,bra,bro
brua	rua,bua,bra,bru
buer	uer,ber,bur,bue
båre	åre,bre,båe,bår
duer	uer,der,dur,due
flis	lis,fis,fls,fli
kule	ule,kle,kue,kul
leid	eid,lid,led,lei
leik	eik,lik,lek,lei
luer	uer,ler,lur,lue
løye	øye,lye,løe,løy
reim	eim,rim,rem,rei
røyr	øyr,ryr,rør,røy
saug	aug,sug,sag,sau
seid	eid,sid,sed,sei
seva	eva,sva,sea,sev
stua	tua,sua,sta,stu
suta	uta,sta,sua,sut
svei	vei,sei,svi,sve
true	rue,tue,tre,tru
veid	eid,vid,ved,vei
veik	eik,vik,vek,vei
aur	ur,ar,au
bøy	øy,by,bø
dar	ar,dr,da
dau	au,du,da
del	el,dl,de
dem	em,dm,de
der	er,dr,de
dom	om,dm,do
dor	or,dr,do
dra	ra,da,dr
dur	ur,dr,du
dyr	yr,dr,dy
døl	øl,dl,dø
dør	ør,dr,dø
eid	id,ed,ei
enn	nn,en,en
fem	em,fm,fe
fly	ly,fy,fl
flø	lø,fø,fl
flå	lå,få,fl
føl	øl,fl,fø
hai	ai,hi,ha
har	ar,hr,ha
hau	au,hu,ha
hei	ei,hi,he
her	er,hr,he
hor	or,hr,ho
hør	ør,hr,hø
hår	år,hr,hå
inn	nn,in,in
jar	ar,jr,ja
klø	lø,kø,kl
kul	ul,kl,ku
kur	ur,kr,ku
lei	ei,li,le
løy	øy,ly,lø
mil	il,ml,mi
mol	ol,ml,mo
mor	or,mr,mo
mos	os,ms,mo
mål	ål,ml,må
mår	år,mr,må
nei	ei,ni,ne
par	ar,pr,pa
rau	au,ru,ra
rei	ei,ri,re
sau	au,su,sa
sei	ei,si,se
sva	va,sa,sv
sve	ve,se,sv
svi	vi,si,sv
tog	og,tg,to
tvi	vi,ti,tv
tøv	øv,tv,tø
tøy	øy,ty,tø
vag	ag,vg,va
vei	ei,vi,ve
øyr	yr,ør,øy
