shoots	hoots,soots,shots,shots,shoos,shoot
amias	mias,aias,amas,amis,amia
baals	aals,bals,bals,baas,baal
baits	aits,bits,bats,bais,bait
balas	alas,blas,baas,bals,bala
bleat	leat,beat,blat,blet,blea
boars	oars,bars,bors,boas,boar
boats	oats,bats,bots,boas,boat
boons	oons,bons,bons,boos,boon
boots	oots,bots,bots,boos,boot
boras	oras,bras,boas,bors,bora
bourn	ourn,burn,born,boun,bour
brood	rood,bood,brod,brod,broo
carts	arts,crts,cats,cars,cart
chain	hain,cain,chin,chan,chai
coons	oons,cons,cons,coos,coon
coops	oops,cops,cops,coos,coop
coots	oots,cots,cots,coos,coot
crees	rees,cees,cres,cres,cree
dearn	earn,darn,dern,dean,dear
feels	eels,fels,fels,fees,feel
fleet	leet,feet,flet,flet,flee
freed	reed,feed,fred,fred,free
freet	reet,feet,fret,fret,free
gleed	leed,geed,gled,gled,glee
grees	rees,gees,gres,gres,gree
greet	reet,geet,gret,gret,gree
yearn	earn,yarn,yern,yean,year
least	east,last,lest,leat,leas
loops	oops,lops,lops,loos,loop
loots	oots,lots,lots,loos,loot
meats	eats,mats,mets,meas,meat
moats	oats,mats,mots,moas,moat
moons	oons,mons,mons,moos,moon
moots	oots,mots,mots,moos,moot
pains	ains,pins,pans,pais,pain
pears	ears,pars,pers,peas,pear
peats	eats,pats,pets,peas,peat
preed	reed,peed,pred,pred,pree
prees	rees,pees,pres,pres,pree
proof	roof,poof,prof,prof,proo
raids	aids,rids,rads,rais,raid
routs	outs,ruts,rots,rous,rout
seels	eels,sels,sels,sees,seel
sheel	heel,seel,shel,shel,shee
sheer	heer,seer,sher,sher,shee
shoot	hoot,soot,shot,shot,shoo
skeel	keel,seel,skel,skel,skee
skeen	keen,seen,sken,sken,skee
sloot	loot,soot,slot,slot,sloo
tyees	yees,tees,tyes,tyes,tyee
tores	ores,tres,toes,tors,tore
trees	rees,tees,tres,tres,tree
woons	oons,wons,wons,woos,woon
xviii	viii,xiii,xvii,xvii,xvii
xxiii	xiii,xiii,xxii,xxii,xxii
